Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 29 2020,Jefferson,WA,Truck,0,0,0,"9.0,639","9.0,639",0.00
01-31-17,Fulton,GA,Passenger,1,2,3,135,138,2.17
05-31-22,Mercer,NJ,Passenger,0,1,1,13,14,7.14
10-31-22,Cowlitz,WA,Truck,4,0,4,"28.0,436",28.000000000,0.01
06-30-21,Franklin,WA,Truck,0,0,0,"20.0,694","20.0,694",0.00
05-31-19,Camden,NJ,Passenger,0,1,1,23,24,4.17
01-31-18,Frederick,MD,Passenger,0,1,1,90,91,1.10
03-31-17,Nantucket,MA,Passenger,1,0,1,3,4,25.00
05-31-19,Okanogan,WA,Passenger,21,23,44,26.0000068,"0.0,112",0.17
February 28 2021,Klickitat,WA,Passenger,65,45,110,"14.0,995",15.00000005,0.73
09-30-22,Whitman,WA,Truck,2,0,2,8.000000000,"0.0,582",0.02
08-31-18,Arlington,VA,Passenger,1,1,2,176,178,1.12
08-31-19,Sangamon,IL,Passenger,1,0,1,6,7,14.29
04-30-20,Grays Harbor,WA,Passenger,106,110,216,48.0000065,"0.0,281",0.45
04-30-22,DeKalb,GA,Passenger,1,0,1,55,56,1.79
February 28 2018,New London,CT,Passenger,1,0,1,250,251,0.40
February 28 2023,Polk,OR,Passenger,1,1,2,17,19,10.53
06-30-17,Sumter,FL,Passenger,0,1,1,10,11,9.09
11-30-21,Harford,MD,Passenger,1,1,2,54,56,3.57
04-30-20,Spartanburg,SC,Passenger,0,1,1,52,53,1.89
February 28 2019,Nassau,NY,Passenger,3,0,3,39,42,7.14
01-31-18,Lumpkin,GA,Passenger,1,0,1,7,8,12.50
11-30-18,Santa Cruz,CA,Passenger,1,0,1,42,43,2.33
08-31-21,Mercer,NJ,Passenger,0,1,1,13,14,7.14
04-30-17,Albemarle,VA,Passenger,0,1,1,31,32,3.12
04-30-23,Virginia Beach,VA,Passenger,3,1,4,452,456,0.88
06-30-20,Jefferson,WA,Passenger,236,139,375,"24.0,793","25.0,168",1.49
04-30-19,Clallam,WA,Passenger,160,132,292,"50.0,459","50.0,751",0.58
01-31-18,Wahkiakum,WA,Truck,0,0,0,"1.0,681","1.0,681",0.00
01-31-23,Lincoln,WA,Truck,0,0,0,"4.0,845","4.0,845",0.00
February 28 2018,Maui,HI,Passenger,1,0,1,66,67,1.49
04-30-22,Klickitat,WA,Truck,0,0,0,"0.0,275","0.0,275",0.00
08-31-22,Plaquemines,LA,Passenger,1,1,2,18,20,10.00
10-31-22,Sarpy,NE,Passenger,1,0,1,60,61,1.64
10-31-23,Kern,CA,Passenger,1,1,2,160,162,1.23
09-30-19,Harnett,NC,Passenger,1,1,2,220,222,0.90
05-31-18,Collin,TX,Passenger,1,0,1,162,163,0.61
04-30-19,Collin,TX,Passenger,2,1,3,143,146,2.05
06-30-18,Walla Walla,WA,Truck,0,0,0,"13.0,417","13.0,417",0.00
05-31-21,Orange,NC,Passenger,0,1,1,13,14,7.14
03-31-20,Oldham,KY,Passenger,0,1,1,4,5,20.00
06-30-23,Skamania,WA,Passenger,107,59,166,"0.0,062","0.0,228",2.02
04-30-22,Adams,WA,Truck,0,0,0,"5.0,479","5.0,479",0.00
09-30-23,El Paso,TX,Passenger,3,0,3,272,275,1.09
10-31-23,Santa Clara,CA,Passenger,11,2,13,149,162,8.02
10-31-20,Okaloosa,FL,Passenger,0,1,1,145,146,0.68
09-30-21,Moore,NC,Passenger,0,1,1,128,129,0.78
03-31-20,Grays Harbor,WA,Truck,0,0,0,"20.0,783","20.0,783",0.00
12-31-21,Pima,AZ,Passenger,1,1,2,269,271,0.74
04-30-22,Richland,SC,Passenger,0,2,2,135,137,1.46
09-30-21,New York,NY,Passenger,1,0,1,43,44,2.27
08-31-17,Hamilton,IN,Passenger,1,0,1,58,59,1.69
10-31-23,Pulaski,MO,Passenger,1,0,1,85,86,1.16
03-31-22,Monterey,CA,Passenger,0,3,3,142,145,2.07
04-30-22,Powhatan,VA,Passenger,1,0,1,2,3,33.33
03-31-19,Lewis,WA,Passenger,95,92,187,"58.0,517",58.00000004,0.32
09-30-18,Franklin,WA,Truck,0,0,0,"0.0,872","0.0,872",0.00
03-31-23,Suffolk,VA,Passenger,1,0,1,109,110,0.91
05-31-18,Richland,SC,Passenger,0,1,1,173,174,0.57
06-30-18,Honolulu,HI,Passenger,1,2,3,535,538,0.56
04-30-17,Palm Beach,FL,Passenger,0,2,2,99,101,1.98
04-30-22,Montgomery,TX,Passenger,1,0,1,41,42,2.38
01-31-17,King,WA,Truck,8,1,9,191.0000064,191.0000073,0.00
12-31-17,Okanogan,WA,Truck,0,0,0,"0.0,269","0.0,269",0.00
07-31-23,Muscogee,GA,Passenger,0,1,1,96,97,1.03
07-31-22,Wichita,TX,Passenger,1,0,1,41,42,2.38
07-31-18,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
07-31-19,Lincoln,WA,Truck,0,0,0,"4.0,684","4.0,684",0.00
11-30-21,Jefferson,WA,Passenger,371,195,566,"24.0,777","25.0,343",2.23
11-30-22,Orange,NC,Passenger,0,1,1,6,7,14.29
04-30-21,Danville,VA,Passenger,1,0,1,0,1,100.00
February 28 2017,Snohomish,WA,Passenger,1.00000004,824,"0.0,428",514.0000017,"516.0,445",0.47
03-31-23,San Juan,WA,Passenger,593,174,767,"13.0,857","0.0,624",5.24
10-31-22,San Bernardino,CA,Passenger,2,1,3,324,327,0.92
08-31-20,Los Angeles,CA,Passenger,7,12,19,"0.0,023","0.0,042",1.82
07-31-17,Pima,AZ,Passenger,1,2,3,436,439,0.68
09-30-22,Orange,FL,Passenger,1,0,1,87,88,1.14
10-31-20,Hudson,NJ,Passenger,1,0,1,41,42,2.38
February 28 2021,Clallam,WA,Passenger,282,195,477,"49.0,986","50.0,463",0.95
01-31-17,Kittitas,WA,Passenger,15,16,31,"27.0,154","27.0,185",0.11
February 29 2020,Solano,CA,Passenger,1,0,1,210,211,0.47
08-31-22,Rockingham,NH,Passenger,1,0,1,17,18,5.56
12-31-22,District of Columbia,DC,Passenger,2,0,2,162,164,1.22
09-30-21,Larimer,CO,Passenger,1,0,1,46,47,2.13
09-30-19,Clackamas,OR,Passenger,2,1,3,211,214,1.40
01-31-22,Sumter,SC,Passenger,0,1,1,34,35,2.86
12-31-23,Marion,IA,Passenger,1,0,1,0,1,100.00
06-30-23,Benton,WA,Passenger,"1.0,143",571,"1.0,714","135.0,486","0.0,200",1.25
03-31-18,San Diego,CA,Passenger,6,1,7,"2.0,563",2.000000000,0.27
03-31-17,Mason,WA,Truck,0,0,0,"0.0,224","0.0,224",0.00
01-31-17,Klickitat,WA,Truck,0,0,0,"7.0,939","7.0,939",0.00
06-30-21,Skagit,WA,Truck,1,0,1,"0.0,012",33.0000013,0.00
February 28 2019,Montgomery,MD,Passenger,1,0,1,280,281,0.36
07-31-17,Kent,MI,Passenger,0,1,1,37,38,2.63
February 28 2022,Sarasota,FL,Passenger,2,0,2,35,37,5.41
01-31-17,Franklin,WA,Truck,0,0,0,17.00000009,17.00000009,0.00
09-30-21,District of Columbia,DC,Passenger,4,0,4,195,199,2.01
08-31-19,Klickitat,WA,Truck,0,0,0,"0.0,290","0.0,290",0.00
10-31-20,Carroll,NH,Passenger,0,1,1,5,6,16.67
08-31-19,Owyhee,ID,Passenger,1,0,1,4,5,20.00
February 28 2021,Stevens,WA,Passenger,38,42,80,"0.0,210","0.0,290",0.26
03-31-17,Gwinnett,GA,Passenger,0,1,1,87,88,1.14
01-31-20,Randolph,NC,Passenger,1,0,1,7,8,12.50
12-31-18,Pinal,AZ,Passenger,2,0,2,205,207,0.97
10-31-22,Bartow,GA,Passenger,0,1,1,4,5,20.00
03-31-21,Hamilton,IN,Passenger,2,0,2,38,40,5.00
03-31-20,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
03-31-23,Orange,CA,Passenger,10,3,13,341,354,3.67
03-31-17,Benton,WA,Truck,0,0,0,39.000000000,39.000000000,0.00
05-31-18,Pacific,WA,Truck,0,0,0,"7.0,587","7.0,587",0.00
06-30-21,Pierce,WA,Passenger,"3.0,469","1.0,996","5.0,465",560.0000038,565.00000003,0.97
08-31-18,Fairfax,VA,Passenger,3,2,5,817,822,0.61
05-31-17,Fairfax,VA,Passenger,3,2,5,860,865,0.58
10-31-21,San Joaquin,CA,Passenger,1,1,2,102,104,1.92
12-31-21,San Bernardino,CA,Passenger,1,1,2,375,377,0.53
06-30-18,Grays Harbor,WA,Truck,0,0,0,"0.0,220","0.0,220",0.00
04-30-20,Klamath,OR,Passenger,1,0,1,35,36,2.78
11-30-20,Spokane,WA,Truck,0,0,0,"0.0,342","0.0,342",0.00
10-31-18,Ferry,WA,Truck,0,0,0,"3.0,565","3.0,565",0.00
10-31-17,Pacific,WA,Truck,0,0,0,"0.0,520","0.0,520",0.00
01-31-18,Kitsap,WA,Passenger,706,402,1.00000008,"176.0,377","177.0,485",0.62
03-31-17,Maricopa,AZ,Passenger,2,1,3,"1.0,859","0.0,862",0.16
08-31-22,Fairfax,VA,Passenger,7,3,10,630,640,1.56
07-31-19,Hillsborough,FL,Passenger,0,1,1,202,203,0.49
06-30-22,Multnomah,OR,Passenger,0,3,3,559,562,0.53
10-31-20,New York,NY,Passenger,1,0,1,60,61,1.64
07-31-18,King,WA,Passenger,"13.0,477",5.00000001,"0.0,278","1,372,160","1,391,438",1.39
05-31-17,Lincoln,WA,Truck,0,0,0,"4.0,459","4.0,459",0.00
05-31-20,New London,CT,Passenger,1,1,2,241,243,0.82
09-30-19,Nueces,TX,Passenger,1,1,2,89,91,2.20
03-31-18,Manassas,VA,Passenger,0,1,1,8,9,11.11
01-31-19,Carroll,NH,Passenger,0,1,1,1,2,50.00
04-30-21,Yakima,WA,Truck,0,0,0,"61.0,649","61.0,649",0.00
04-30-17,Pacific,WA,Truck,0,0,0,"0.0,462","0.0,462",0.00
12-31-17,Skamania,WA,Passenger,10,7,17,"8.0,587",8.00000004,0.20
03-31-23,Columbia,OR,Passenger,1,0,1,13,14,7.14
12-31-20,Hawaii,HI,Passenger,1,0,1,59,60,1.67
07-31-22,Juneau,AK,Passenger,0,1,1,31,32,3.12
06-30-19,Island,WA,Passenger,317,241,558,"63.0,356","63.0,914",0.87
07-31-20,Clallam,WA,Passenger,237,169,406,50.0000055,"50.0,461",0.80
11-30-20,San Diego,CA,Passenger,15,2,17,"0.0,720","2.0,737",0.62
01-31-21,Travis,TX,Passenger,3,3,6,177,183,3.28
09-30-20,Boulder,CO,Passenger,1,1,2,45,47,4.26
February 28 2018,DuPage,IL,Passenger,1,0,1,67,68,1.47
05-31-23,Virginia Beach,VA,Truck,1,0,1,107,108,0.93
12-31-21,Kitsap,WA,Passenger,"0.0,126",956,"0.0,082",179.00000003,"182.0,985",1.68
01-31-18,Island,WA,Passenger,159,168,327,"61.0,814","62.0,141",0.53
08-31-17,Klickitat,WA,Passenger,22,24,46,"14.0,783","0.0,829",0.31
07-31-20,Lincoln,WA,Passenger,5,11,16,"7.0,649","7.0,665",0.21
06-30-20,Skamania,WA,Passenger,31,17,48,"8.0,476","0.0,524",0.56
06-30-17,Lincoln,WA,Passenger,2,5,7,"0.0,527","7.0,534",0.09
07-31-18,Sacramento,CA,Passenger,0,1,1,318,319,0.31
05-31-23,Riverside,CA,Passenger,6,1,7,394,401,1.75
04-30-22,Lewis,WA,Passenger,231,173,404,"59.0,494","59.0,898",0.67
12-31-20,Suffolk,MA,Passenger,0,2,2,35,37,5.41
07-31-23,Platte,MO,Passenger,1,0,1,22,23,4.35
03-31-19,Spokane,WA,Passenger,490,393,883,"0.0,724",308.00000007,0.29
10-31-17,Lincoln,WA,Passenger,2,5,7,"7.0,574","7.0,581",0.09
07-31-21,Dallas,IA,Passenger,0,1,1,8,9,11.11
03-31-23,Adams,CO,Passenger,1,0,1,24,25,4.00
07-31-21,Philadelphia,PA,Passenger,1,0,1,48,49,2.04
07-31-22,St. Lawrence,NY,Passenger,1,0,1,2,3,33.33
05-31-17,Okanogan,WA,Passenger,3,16,19,"0.0,682",25.00000001,0.07
11-30-23,Mason,WA,Passenger,533,222,755,"45.0,865","0.0,620",1.62
February 29 2024,Spokane,WA,Truck,77,0,77,98.000000000,"0.0,127",0.08
06-30-18,Virginia Beach,VA,Passenger,2,1,3,682,685,0.44
08-31-23,Kings,CA,Passenger,2,2,4,270,274,1.46
07-31-18,San Francisco,CA,Passenger,1,1,2,127,129,1.55
09-30-21,Williams,ND,Passenger,0,1,1,8,9,11.11
12-31-21,Skagit,WA,Passenger,694,302,996,91.0000084,92.000000000,1.08
04-30-19,San Juan,WA,Passenger,204,69,273,"0.0,327",14.000000000,1.87
07-31-19,Kootenai,ID,Passenger,1,1,2,222,224,0.89
05-31-18,Travis,TX,Passenger,1,1,2,200,202,0.99
01-31-20,Collin,TX,Passenger,2,1,3,137,140,2.14
10-31-22,New London,CT,Passenger,3,2,5,189,194,2.58
11-30-22,Sheridan,WY,Passenger,1,0,1,6,7,14.29
February 28 2018,Richland,SC,Passenger,0,1,1,174,175,0.57
07-31-21,Polk,FL,Passenger,1,0,1,66,67,1.49
11-30-23,St. Lawrence,NY,Passenger,1,0,1,1,2,50.00
11-30-19,Douglas,WA,Truck,0,0,0,"0.0,296","0.0,296",0.00
06-30-18,King,WA,Truck,7,1,8,183.0000019,"0.0,027",0.00
07-31-22,Mason,WA,Truck,4,0,4,"20.0,953","20.0,957",0.02
08-31-19,Chelan,WA,Truck,0,0,0,"22.0,363","22.0,363",0.00
09-30-17,Franklin,WA,Truck,0,0,0,"0.0,245","0.0,245",0.00
07-31-19,Santa Cruz,CA,Passenger,1,0,1,41,42,2.38
February 29 2020,Middlesex,MA,Passenger,1,1,2,103,105,1.90
February 28 2021,Clallam,WA,Truck,1,0,1,"21.0,893","21.0,894",0.00
10-31-22,Honolulu,HI,Passenger,4,3,7,345,352,1.99
04-30-18,Okanogan,WA,Truck,0,0,0,"16.0,351","16.0,351",0.00
10-31-20,Travis,TX,Passenger,3,1,4,181,185,2.16
11-30-19,Virginia Beach,VA,Passenger,1,0,1,699,700,0.14
01-31-22,Lake,IL,Passenger,3,0,3,163,166,1.81
08-31-18,Nassau,NY,Passenger,2,0,2,38,40,5.00
08-31-18,Shelby,TN,Passenger,0,1,1,104,105,0.95
February 29 2020,Sarasota,FL,Passenger,2,0,2,35,37,5.41
06-30-19,Asotin,WA,Passenger,12,8,20,"12.0,637","12.0,657",0.16
04-30-20,Okanogan,WA,Passenger,34,31,65,"25.0,884","25.0,949",0.25
04-30-23,Island,WA,Passenger,"0.0,012",423,"1.0,435","0.0,226","62.0,661",2.29
09-30-19,El Paso,TX,Passenger,3,0,3,477,480,0.62
04-30-19,Howard,MD,Passenger,0,1,1,84,85,1.18
04-30-19,Thurston,WA,Passenger,821,612,"1.0,433","0.0,682","198.0,115",0.72
07-31-20,Henrico,VA,Passenger,0,1,1,19,20,5.00
08-31-21,Leavenworth,KS,Passenger,0,1,1,115,116,0.86
04-30-23,Dallas,TX,Passenger,1,0,1,90,91,1.10
05-31-21,Miami-Dade,FL,Passenger,1,0,1,96,97,1.03
07-31-20,Harford,MD,Passenger,0,1,1,58,59,1.69
08-31-18,Clackamas,OR,Passenger,0,1,1,217,218,0.46
05-31-23,Arlington,VA,Passenger,1,0,1,109,110,0.91
11-30-22,Santa Cruz,CA,Passenger,1,0,1,25,26,3.85
03-31-21,Bucks,PA,Passenger,1,0,1,21,22,4.55
12-31-23,Spokane,WA,Passenger,"2.0,851",1.00000003,"0.0,254","0.0,273","0.0,527",1.31
07-31-19,Norfolk,VA,Passenger,2,2,4,353,357,1.12
11-30-20,Kings,NY,Passenger,1,0,1,66,67,1.49
11-30-20,Hudson,NJ,Passenger,1,0,1,40,41,2.44
09-30-21,Bexar,TX,Passenger,2,4,6,534,540,1.11
12-31-18,Suffolk,MA,Passenger,0,1,1,43,44,2.27
05-31-21,Carson City,NV,Passenger,1,0,1,11,12,8.33
06-30-17,Maricopa,AZ,Passenger,2,1,3,"1.0,784","1.0,787",0.17
08-31-17,Multnomah,OR,Passenger,1,3,4,938,942,0.42
11-30-21,Clark,NV,Passenger,7,2,9,592,601,1.50
08-31-20,Garfield,WA,Passenger,0,1,1,"1.0,349",1.000000000,0.07
04-30-22,Pima,AZ,Passenger,1,1,2,249,251,0.80
04-30-18,Brevard,FL,Passenger,0,1,1,103,104,0.96
07-31-22,Houston,GA,Passenger,1,0,1,32,33,3.03
11-30-19,Jefferson,NY,Passenger,0,2,2,213,215,0.93
05-31-20,Placer,CA,Passenger,2,0,2,94,96,2.08
08-31-19,Harrison,MS,Passenger,1,0,1,65,66,1.52
09-30-22,Danville,VA,Passenger,1,0,1,0,1,100.00
03-31-21,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
08-31-20,Cowlitz,WA,Truck,0,0,0,28.00000006,28.00000006,0.00
07-31-21,Hamilton,IN,Passenger,2,0,2,35,37,5.41
10-31-21,Jefferson,NY,Passenger,1,1,2,219,221,0.90
08-31-23,Snohomish,WA,Passenger,"13.0,961","0.0,227","17.0,188",527.0000018,"0.0,206",3.16
09-30-23,Pierce,WA,Passenger,"8.0,574","2.0,979","11.0,553",526.000000000,"0.0,243",2.15
February 28 2017,Clark,WA,Truck,0,0,0,"77.0,514","77.0,514",0.00
07-31-20,San Diego,CA,Passenger,15,3,18,"2.0,749","2.0,767",0.65
11-30-22,Clark,NV,Passenger,9,2,11,478,489,2.25
06-30-22,Hudson,NJ,Passenger,2,0,2,40,42,4.76
10-31-19,Thurston,WA,Passenger,1.00000005,685,1.000000000,"198.0,995","200.0,685",0.84
04-30-22,Yakima,WA,Truck,0,0,0,"61.0,517","61.0,517",0.00
05-31-21,Duval,FL,Passenger,0,2,2,347,349,0.57
01-31-22,Boulder,CO,Passenger,2,1,3,44,47,6.38
February 28 2021,Plaquemines,LA,Passenger,0,1,1,15,16,6.25
01-31-17,Adams,WA,Passenger,1,1,2,"12.0,174","12.0,176",0.02
09-30-18,Ferry,WA,Truck,0,0,0,"3.0,558","3.0,558",0.00
08-31-19,Clark,NV,Passenger,5,2,7,706,713,0.98
12-31-22,Middlesex,MA,Passenger,2,1,3,74,77,3.90
01-31-17,Saratoga,NY,Passenger,1,1,2,78,80,2.50
07-31-18,Lane,OR,Passenger,0,1,1,188,189,0.53
12-31-23,Williamson,TX,Passenger,0,1,1,38,39,2.56
04-30-22,Spokane,WA,Passenger,1.00000006,810,"2.0,316","0.0,402","327.0,718",0.71
09-30-21,Queens,NY,Passenger,2,0,2,49,51,3.92
February 29 2024,Harnett,NC,Passenger,4,0,4,129,133,3.01
09-30-21,Greene,MO,Passenger,0,1,1,31,32,3.12
10-31-17,Franklin,MA,Passenger,0,1,1,4,5,20.00
07-31-22,Jefferson,WA,Passenger,442,219,661,"0.0,528","25.0,189",2.62
04-30-21,El Paso,CO,Passenger,3,0,3,713,716,0.42
10-31-20,Bartow,GA,Passenger,0,1,1,5,6,16.67
08-31-20,Owyhee,ID,Passenger,1,0,1,3,4,25.00
05-31-23,Henrico,VA,Passenger,0,1,1,7,8,12.50
12-31-22,Okaloosa,FL,Passenger,0,1,1,97,98,1.02
07-31-20,Nassau,FL,Passenger,1,0,1,35,36,2.78
01-31-20,Columbia,OR,Passenger,1,0,1,29,30,3.33
06-30-20,Kent,MI,Passenger,0,1,1,26,27,3.70
01-31-21,Platte,MO,Passenger,1,0,1,20,21,4.76
12-31-21,Nassau,NY,Passenger,3,0,3,32,35,8.57
03-31-21,Garfield,WA,Truck,0,0,0,1.000000000,1.000000000,0.00
10-31-20,Owyhee,ID,Passenger,1,0,1,3,4,25.00
08-31-17,Whatcom,WA,Passenger,481,182,663,"143.0,538","0.0,201",0.46
03-31-17,Chelan,WA,Passenger,55,30,85,"51.0,679","51.0,764",0.16
04-30-20,Stevens,WA,Passenger,33,33,66,"30.0,954","0.0,020",0.21
03-31-17,Tarrant,TX,Passenger,0,2,2,290,292,0.68
11-30-22,Lincoln,WA,Passenger,12,19,31,7.000000000,"7.0,791",0.40
12-31-18,Whatcom,WA,Truck,2,0,2,"42.0,661","42.0,663",0.00
11-30-21,Kern,CA,Passenger,0,1,1,205,206,0.49
10-31-19,Norfolk,MA,Passenger,1,0,1,37,38,2.63
01-31-23,DeKalb,GA,Passenger,1,0,1,47,48,2.08
12-31-22,Yavapai,AZ,Passenger,0,1,1,22,23,4.35
08-31-22,DuPage,IL,Passenger,2,1,3,47,50,6.00
04-30-19,Tarrant,TX,Passenger,3,0,3,203,206,1.46
01-31-23,Kauai,HI,Passenger,1,1,2,15,17,11.76
10-31-18,Fulton,GA,Passenger,1,2,3,108,111,2.70
06-30-19,Camden,NJ,Passenger,0,1,1,24,25,4.00
04-30-23,Galveston,TX,Passenger,0,1,1,16,17,5.88
February 28 2023,Walla Walla,WA,Passenger,206,107,313,35.000000000,"35.0,983",0.87
04-30-20,Arlington,VA,Passenger,0,2,2,153,155,1.29
February 28 2023,Arlington,VA,Passenger,1,0,1,116,117,0.85
01-31-19,Nueces,TX,Passenger,1,1,2,90,92,2.17
04-30-21,Richland,SC,Passenger,0,1,1,143,144,0.69
05-31-23,Hudson,NJ,Passenger,1,0,1,21,22,4.55
12-31-21,Kings,NY,Passenger,1,0,1,69,70,1.43
11-30-17,Kitsap,WA,Passenger,676,367,1.0000043,"175.0,364",176.00000007,0.59
05-31-17,Ferry,WA,Truck,0,0,0,"3.0,546","3.0,546",0.00
11-30-17,Anne Arundel,MD,Passenger,0,1,1,487,488,0.20
01-31-22,El Paso,TX,Passenger,2,0,2,372,374,0.53
09-30-19,Lake,FL,Passenger,1,0,1,23,24,4.17
February 28 2023,King,WA,Passenger,"50.0,998","0.0,802",63.000000000,"1,329,467","1,393,267",4.58
12-31-18,Lewis,WA,Truck,0,0,0,"25.0,634","25.0,634",0.00
01-31-19,Santa Clara,CA,Passenger,8,1,9,381,390,2.31
03-31-19,Richland,SC,Passenger,0,1,1,166,167,0.60
04-30-20,Collier,FL,Passenger,1,0,1,19,20,5.00
01-31-22,Allen,IN,Passenger,1,0,1,19,20,5.00
07-31-22,Howard,IN,Passenger,0,1,1,4,5,20.00
01-31-18,Saratoga,NY,Passenger,1,1,2,68,70,2.86
09-30-19,Columbia,WA,Passenger,3,2,5,"2.0,447","0.0,452",0.20
07-31-22,Sarasota,FL,Passenger,2,0,2,31,33,6.06
10-31-23,Montgomery,TN,Passenger,1,0,1,140,141,0.71
08-31-18,Charleston,SC,Passenger,1,0,1,132,133,0.75
01-31-21,Twin Falls,ID,Passenger,0,1,1,27,28,3.57
05-31-22,Okaloosa,FL,Passenger,0,1,1,103,104,0.96
06-30-21,Columbia,WA,Truck,0,0,0,"1.0,545","1.0,545",0.00
05-31-18,Northampton,PA,Passenger,0,1,1,64,65,1.54
05-31-21,Manassas,VA,Passenger,0,1,1,7,8,12.50
February 28 2021,Montgomery,PA,Passenger,1,0,1,27,28,3.57
01-31-18,Stevens,WA,Passenger,10,22,32,"0.0,592","0.0,624",0.10
04-30-20,Deschutes,OR,Passenger,4,0,4,149,153,2.61
10-31-19,San Juan,WA,Truck,0,0,0,"0.0,920","0.0,920",0.00
03-31-21,Maricopa,AZ,Passenger,5,7,12,"1.0,351","1.0,363",0.88
February 28 2022,Juneau,AK,Passenger,0,1,1,31,32,3.12
04-30-19,Fairfax,VA,Passenger,4,2,6,789,795,0.75
03-31-22,Los Angeles,CA,Passenger,6,7,13,859,872,1.49
10-31-21,Fort Bend,TX,Passenger,1,0,1,36,37,2.70
12-31-20,Placer,CA,Passenger,2,0,2,87,89,2.25
11-30-18,Carson City,NV,Passenger,1,0,1,15,16,6.25
05-31-23,Pulaski,MO,Passenger,2,0,2,92,94,2.13
08-31-21,Dallas,IA,Passenger,0,1,1,9,10,10.00
05-31-19,Maui,HI,Passenger,2,0,2,48,50,4.00
12-31-21,Rockdale,GA,Passenger,1,0,1,5,6,16.67
04-30-21,San Juan,WA,Truck,0,0,0,5.00000007,5.00000007,0.00
12-31-22,Montgomery,PA,Passenger,1,0,1,21,22,4.55
03-31-19,Clackamas,OR,Passenger,1,1,2,204,206,0.97
01-31-24,Shelby,AL,Passenger,1,0,1,5,6,16.67
11-30-21,DeKalb,GA,Passenger,1,0,1,63,64,1.56
03-31-22,Nueces,TX,Passenger,1,1,2,60,62,3.23
07-31-23,Howard,MD,Passenger,0,2,2,54,56,3.57
09-30-17,Montgomery,PA,Passenger,1,0,1,37,38,2.63
09-30-20,Bradley,TN,Passenger,1,0,1,1,2,50.00
01-31-20,Fairfax,VA,Passenger,5,2,7,767,774,0.90
February 28 2022,Yellowstone,MT,Passenger,0,1,1,27,28,3.57
11-30-21,Williams,ND,Passenger,0,1,1,8,9,11.11
05-31-20,Douglas,WA,Passenger,69,40,109,"27.0,959",28.0000068,0.39
12-31-21,Okanogan,WA,Truck,0,0,0,"16.0,677","16.0,677",0.00
03-31-18,Polk,FL,Passenger,1,0,1,65,66,1.52
10-31-23,Maui,HI,Passenger,1,0,1,20,21,4.76
04-30-21,Kitsap,WA,Truck,0,0,0,"54.0,543","54.0,543",0.00
01-31-18,Montgomery,MD,Passenger,1,0,1,302,303,0.33
08-31-22,Grant,WA,Truck,1,0,1,"27.0,979",27.000000000,0.00
04-30-20,Flathead,MT,Passenger,1,0,1,69,70,1.43
12-31-22,Palm Beach,FL,Passenger,1,1,2,52,54,3.70
06-30-22,Suffolk,MA,Passenger,0,1,1,21,22,4.55
February 29 2024,Sacramento,CA,Truck,1,0,1,26,27,3.70
February 28 2021,Hillsborough,FL,Passenger,0,1,1,163,164,0.61
10-31-17,Wayne,MI,Passenger,0,1,1,71,72,1.39
05-31-23,New Haven,CT,Passenger,0,2,2,27,29,6.90
05-31-21,Kings,NY,Passenger,1,0,1,69,70,1.43
01-31-23,Oldham,KY,Passenger,0,1,1,4,5,20.00
05-31-18,Franklin,WA,Passenger,38,63,101,"57.0,683","57.0,784",0.17
05-31-17,Lincoln,WA,Passenger,2,5,7,7.00000007,"7.0,514",0.09
11-30-18,Pacific,WA,Passenger,20,23,43,"0.0,802","15.0,845",0.27
04-30-21,Duval,FL,Passenger,0,2,2,353,355,0.56
07-31-22,Hamilton,OH,Passenger,1,0,1,33,34,2.94
12-31-18,Santa Clara,CA,Passenger,8,1,9,383,392,2.30
February 28 2018,St. Clair,IL,Passenger,0,1,1,160,161,0.62
08-31-22,Chesapeake,VA,Passenger,3,2,5,332,337,1.48
12-31-19,Collier,FL,Passenger,1,0,1,19,20,5.00
04-30-19,Spokane,WA,Truck,1,0,1,"94.0,366","94.0,367",0.00
04-30-20,Benton,WA,Truck,0,0,0,"42.0,484","42.0,484",0.00
01-31-24,Lewis,WA,Truck,13,0,13,"0.0,127",25.000000000,0.05
February 29 2020,Harris,TX,Passenger,1,0,1,261,262,0.38
11-30-21,Anne Arundel,MD,Passenger,3,1,4,363,367,1.09
09-30-21,Miami-Dade,FL,Passenger,1,0,1,96,97,1.03
10-31-19,Camden,NJ,Passenger,0,1,1,23,24,4.17
12-31-22,Goochland,VA,Passenger,1,2,3,79,82,3.66
01-31-24,Fulton,GA,Passenger,1,0,1,47,48,2.08
03-31-19,Yakima,WA,Truck,0,0,0,"0.0,742","0.0,742",0.00
08-31-22,Collin,TX,Passenger,3,0,3,83,86,3.49
01-31-22,Harris,TX,Passenger,1,0,1,186,187,0.53
04-30-23,Douglas,CO,Passenger,0,2,2,60,62,3.23
01-31-19,Sedgwick,KS,Passenger,0,1,1,102,103,0.97
01-31-23,Anne Arundel,MD,Passenger,3,3,6,310,316,1.90
